UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_roll_mean,Air_temperature_K_roll_std,Air_temperature_K_roll_var,Process_temperature_K_roll_mean,Process_temperature_K_roll_std,Process_temperature_K_roll_var,Rotational_speed_rpm_roll_mean,Rotational_speed_rpm_roll_std,Rotational_speed_rpm_roll_var,Torque_Nm_roll_mean,Torque_Nm_roll_std,Torque_Nm_roll_var,Tool_wear_min_roll_mean,Tool_wear_min_roll_std,Tool_wear_min_roll_var
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,298.01,0.031622776600345556,0.0009999999999153624,308.23999999999995,0.05163977795363204,0.0026666666671004216,1467.5,110.35020012064828,12177.166666667124,45.910000000000004,10.023023495931787,100.46100000000065,69.5,101.17229528548482,10235.833333333334
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,298.01,0.031622776600345556,0.0009999999999153624,308.21999999999997,0.0918936583496863,0.00844444444488887,1482.1,119.82250762412598,14357.433333333727,44.31,11.292421253999441,127.5187777777783,49.6,88.35056435712349,7805.822222222218
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,298.02,0.04216370213463042,0.001777777777697838,308.21,0.0875595035796604,0.0076666666671165624,1494.1,112.22640806275058,12594.766666667008,42.42,10.525292289422566,110.78177777777813,29.7,66.38783355739541,4407.344444444436
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,298.03,0.048304589153185425,0.002333333333258039,308.2,0.08164965809556082,0.006666666667121981,1495.6,110.99669664754444,12320.266666667003,43.19,11.844403272807345,140.28988888888932,9.8,6.3560994328271505,40.399999999985624
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,298.05,0.07071067811817394,0.004999999999932003,308.2,0.08164965809556082,0.006666666667121981,1481.6,95.41162286523678,9103.377777778174,44.83,11.355864857714153,128.95566666666727,12.0,6.394442031082548,40.888888888875094
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,298.06,0.06992058987755145,0.004888888888824751,308.2,0.08164965809556082,0.006666666667121981,1500.4,109.48079486578804,11986.04444444476,43.779999999999994,12.049232340692932,145.18400000000048,14.3,6.532823109327588,42.67777777776458
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,298.07,0.06749485577060835,0.004555555555495224,308.2,0.08164965809556082,0.006666666667121981,1512.0,128.11973566420957,16414.666666666937,42.88,13.009381230481347,169.24400000000037,16.5,6.753599863117335,45.61111111109849
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,298.07,0.06749485577060835,0.004555555555495224,308.19,0.08755950357972532,0.007666666667127931,1535.0,117.39865605893716,13782.444444444624,41.29,13.25623123918208,175.72766666666686,18.8,7.067924416371721,49.955555555543526
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,298.08000000000004,0.0632455532029248,0.003999999999943991,308.19,0.08755950357972532,0.007666666667127931,1522.6,126.09009124872318,15898.711111111337,42.25,13.330853936138787,177.71166666666699,21.2,7.435649863251865,55.28888888887749
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,298.08000000000004,0.0632455532029248,0.003999999999943991,308.17999999999995,0.09189365834981074,0.00844444444491174,1519.1,127.60307380484485,16282.544444444684,41.92,13.422270051423256,180.15733333333364,23.6,7.647802879839289,58.48888888887812
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,298.07,0.06749485577060835,0.004555555555495224,308.16,0.0843274042739963,0.0071111111115900105,1530.0,113.64173724668521,12914.444444444642,39.99,11.269274846038481,126.99655555555563,26.0,7.7172246018594945,59.55555555554544
268,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,298.06,0.08432740427077366,0.0071111111110464965,308.16,0.0843274042739963,0.0071111111115900105,1563.9,175.52742742311773,30809.877777777863,39.15,12.394913831442674,153.6338888888889,28.7,8.15202769595063,66.45555555554616
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,298.04,0.09660917830754882,0.009333333333259763,308.14,0.0966091783104698,0.00933333333382415,1595.7,187.44246524674648,35134.67777777776,37.839999999999996,13.207338027694211,174.43377777777764,31.4,8.315981935739572,69.15555555554688
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,298.03000000000003,0.09486832980463532,0.008999999999921057,308.12,0.1032795559012945,0.010666666667168615,1606.1,179.31998091555639,32155.655555555506,35.15,9.540119961975764,91.01388888888846,34.4,8.74579263925695,76.48888888888104
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,298.01,0.07378647873665481,0.005444444444354811,308.09000000000003,0.08755950358004003,0.007666666667183041,1605.9,179.42528621499616,32193.43333333329,34.2,8.40171940074699,70.58888888888836,37.3,8.982080926921707,80.6777777777707
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,298.01,0.07378647873665481,0.005444444444354811,308.08000000000004,0.07888106377796605,0.006222222222743548,1585.7,184.7015911620087,34114.677777777804,35.07,8.608013062774036,74.09788888888845,40.4,9.593979593705534,92.04444444443821
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,298.01000000000005,0.07378647873665481,0.005444444444354811,308.07000000000005,0.06749485577495452,0.0045555555560819125,1560.5,179.02032783395828,32048.2777777779,36.43,8.221928673438537,67.60011111111079,43.6,9.95768826362576,99.15555555555021
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,298.02000000000004,0.07888106377413077,0.006222222222138486,308.06,0.0699205898818039,0.004888888889419418,1544.4,183.55453322287315,33692.266666666845,37.8,8.590433956183782,73.79555555555535,46.7,10.078028907810404,101.56666666666219
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,298.02000000000004,0.07888106377413077,0.006222222222138486,308.04,0.0516397779546506,0.002666666667205618,1570.6,177.671482111102,31567.15555555564,35.9,8.303011501858807,68.93999999999964,49.7,10.011659869039184,100.23333333332968
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,298.02,0.07888106377413077,0.006222222222138486,308.03000000000003,0.04830458915958287,0.002333333333876091,1565.3,182.26723360067916,33221.34444444455,37.66,10.227870420245512,104.60933333333313,52.7,9.603818684946656,92.23333333333052
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,298.02,0.07888106377413077,0.006222222222138486,308.01,0.056764621224621836,0.0032222222227747876,1596.3,184.93124848620542,34199.56666666666,35.95,10.530827761070492,110.89833333333297,55.7,8.807194029125547,77.56666666666469
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,298.03000000000003,0.06749485577046928,0.004555555555476451,308.01,0.056764621224621836,0.0032222222227747876,1548.8,137.85805904786486,19004.844444444596,38.91,10.04163001376436,100.83433333333323,58.5,8.409650541028503,70.722222222221
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,298.04,0.051639777948716145,0.00266666666659271,308.01,0.056764621224621836,0.0032222222227747876,1530.8,110.43932471925324,12196.844444444658,39.370000000000005,9.408866976303667,88.52677777777772,61.6,8.181279443542614,66.93333333333294
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,298.04,0.051639777948716145,0.00266666666659271,308.02,0.06324555320770224,0.004000000000548295,1560.3,143.01596647461002,20453.566666666782,38.010000000000005,10.685758955003818,114.18544444444427,64.5,8.356634091147807,69.83333333333374
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,298.05,0.05270462766883124,0.0027777777777101315,308.03,0.06749485577508502,0.004555555556099527,1553.9,146.41148254908956,21436.322222222356,38.42,10.831210048333055,117.31511111111097,67.4,8.181279443542712,66.93333333333456
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,298.05,0.05270462766883124,0.0027777777777101315,308.02,0.06324555320770224,0.004000000000548295,1571.3,143.26126094966835,20523.78888888897,37.989999999999995,10.811562740366849,116.88988888888872,70.1,8.451824260675046,71.43333333333528
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,298.05,0.05270462766883124,0.0027777777777101315,308.02000000000004,0.06324555320770224,0.004000000000548295,1561.9,152.41715418183412,23230.98888888899,38.93,11.435038745501084,130.760111111111,72.7,8.654478609367676,74.90000000000265
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,298.06,0.06992058987756646,0.004888888888826849,308.04,0.08432740427435075,0.007111111111649788,1566.2,148.71882493110607,22117.28888888898,38.63,11.267066067871335,126.94677777777764,75.4,8.80908621821829,77.6000000000034
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,298.07,0.08232726023451421,0.006777777777721424,308.07000000000005,0.11595018087511536,0.013444444444971967,1606.1,213.64687895892345,45644.98888888889,37.7,12.511239391487594,156.53111111111087,78.1,8.723531395025992,76.10000000000413
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,298.09000000000003,0.08755950357684456,0.007666666666623455,308.1,0.13333333333527586,0.017777777778295784,1622.8,202.04553942119077,40822.39999999996,35.83,10.993437436337475,120.85566666666627,80.8,8.390470785361499,70.40000000000481
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,298.11,0.08755950357691633,0.007666666666636023,308.14,0.12649110640873032,0.016000000000504735,1606.7,197.13844543027793,38863.566666666666,36.489999999999995,10.567607739376637,111.67433333333298,83.5,7.778174593052378,60.50000000000552
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,298.13,0.08232726023474321,0.00677777777775913,308.16999999999996,0.12516655570543045,0.015666666667160625,1639.3,200.59913038473277,40240.011111111016,34.58,9.372394452741373,87.84177777777725,86.1,7.078135347674992,50.10000000000619
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,298.15,0.07071067811861619,0.004999999999994545,308.21,0.1286683937726412,0.01655555555603145,1615.8,216.26465268277195,46770.39999999998,35.86,9.45999765092757,89.49155555555512,88.4,6.8019605016990115,46.26666666667347
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,298.15999999999997,0.051639777949443945,0.002666666666667877,308.24,0.1349897115438186,0.018222222222683358,1577.5,210.10645449919505,44144.72222222232,38.19,8.903114311545382,79.2654444444442,90.9,7.140650452787645,50.98888888889639
291,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,298.16,0.051639777949443945,0.002666666666667877,308.27000000000004,0.13374935098659294,0.017888888889334827,1575.7,211.33651417164597,44663.12222222232,38.38,9.052783488457496,81.95288888888867,93.4,7.275529763071657,52.93333333334152
292,L47471,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,298.15,0.07071067811862765,0.004999999999996166,308.3,0.09428090416049631,0.008888888889320691,1560.4,212.82345317709317,45293.82222222237,38.99,9.117315638083628,83.12544444444427,95.8,7.420691791650933,55.06666666667553
293,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,298.15,0.07071067811862765,0.004999999999996166,308.33,0.067494855774145,0.004555555555972635,1554.9,218.35518974571926,47678.98888888906,38.03,8.32346749324528,69.28011111111086,98.2,7.420691791650979,55.06666666667621
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,298.14,0.06992058987794234,0.004888888888879412,308.36,0.0699205898808965,0.004888888889292526,1547.2,223.02854824737915,49741.73333333353,38.21,8.461212153770337,71.59211111111087,100.5,7.472170590487311,55.83333333334349
295,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,298.13,0.06749485577094387,0.004555555555540516,308.38,0.07888106377717427,0.006222222222618635,1479.3,140.8119707663789,19828.011111111548,41.4,6.212353284652556,38.5933333333334,103.1,7.922541679705918,62.766666666677466
296,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,298.12,0.06324555320320985,0.003999999999980048,308.40999999999997,0.09944289260311381,0.009888888889274429,1494.1,157.91027691558247,24935.655555555943,40.87,6.911029831604935,47.762333333333345,105.8,8.31063575586598,69.0666666666781
297,L47476,L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,298.1,0.06666666666644527,0.0044444444444149255,308.42999999999995,0.09486832980703938,0.009000000000377198,1474.7,156.86940782418847,24608.011111111566,42.17,6.519551791001872,42.50455555555571,108.6,8.60490816014073,74.0444444444565
298,L47477,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,298.08000000000004,0.06324555320306804,0.003999999999962111,308.45,0.08498365856205695,0.007222222222592274,1465.5,136.7538339905379,18701.6111111116,41.540000000000006,7.827614934036781,61.271555555555636,111.4,8.604908160140766,74.04444444445716
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,298.05,0.07071067811829791,0.004999999999949534,308.46,0.08432740427332773,0.007111111111477252,1539.9,246.46678838695087,60745.87777777801,39.190000000000005,10.632492129735564,113.04988888888872,114.2,8.310635755866096,69.06666666668005
300,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,298.02000000000004,0.10327955589854111,0.010666666666599878,308.45,0.09718253158265193,0.009444444444813141,1553.0,243.79773036952892,59437.333333333525,38.08,10.336644630740768,106.84622222222193,117.0,8.819171036882768,77.77777777779187
301,L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,297.99000000000007,0.11972189997343763,0.014333333333249805,308.45,0.09718253158265193,0.009444444444813141,1571.4,241.0823741195346,58120.71111111124,37.35,9.998805484212138,99.97611111111073,119.9,9.194805296712884,84.54444444445932
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,297.96000000000004,0.1505545305414963,0.022666666666570343,308.46000000000004,0.08432740427332436,0.007111111111476683,1598.1,243.7441509269733,59411.21111111114,35.8,10.291636302249378,105.91777777777723,122.8,9.24722180501402,85.51111111112674
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,297.93,0.1494434118093653,0.022333333333223546,308.46,0.08432740427332436,0.007111111111476683,1615.8,228.4633692982555,52195.51111111107,35.29,10.175073027310935,103.53211111111051,125.7,8.982080926923013,80.67777777779418
304,M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,297.9,0.14142135623687954,0.019999999999878386,308.45,0.08498365856205359,0.007222222222591705,1624.5,220.512156379441,48625.61111111104,35.16,10.047575716449076,100.95377777777716,128.9,8.862530363528336,78.54444444446169
305,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,297.87,0.12516655570293075,0.015666666666534865,308.44,0.08432740427337042,0.007111111111484452,1661.0,203.63584054766818,41467.555555555344,32.8,8.547124272720765,73.05333333333247,131.9,9.085397319020366,82.54444444446244
306,L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,297.84000000000003,0.09660917830720321,0.009333333333192983,308.41999999999996,0.06324555320636817,0.004000000000379547,1702.3,252.13534725090204,63572.23333333296,31.650000000000006,9.573139505930069,91.64499999999902,134.8,9.138441393975773,83.51111111112988
307,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,297.82,0.07888106377374961,0.006222222222078352,308.40999999999997,0.05676462122312489,0.0032222222226048402,1700.2,255.04979905892813,65050.39999999962,31.74,9.72810361786916,94.63599999999903,137.6,9.070097390143404,82.2666666666862
308,M15167,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,297.8,0.04714045207755253,0.002222222222076027,308.4,0.04714045208319347,0.0022222222226078595,1686.8,257.80776645486094,66464.84444444411,32.87,9.551619990579796,91.23344444444359,140.4,8.72034657823098,76.04444444446477
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,297.8,0.04714045207755253,0.002222222222076027,308.4,0.04714045208319347,0.0022222222226078595,1604.4,231.06430081497032,53390.7111111111,35.72,9.094784830391017,82.71511111111056,143.3,8.206366092520222,67.34444444446561
310,M15169,M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,297.81,0.05676462121847206,0.0032222222220766083,308.41999999999996,0.04216370214008068,0.0017777777781574444,1592.6,236.14364743143582,55763.82222222226,36.24,9.2347411682431,85.28044444444394,145.9,7.992357460586939,63.877777777799714
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,297.83000000000004,0.08232726023397915,0.0067777777776333245,308.43999999999994,0.0699205898806807,0.004888888889262349,1583.0,236.7661762630429,56058.2222222223,36.59,9.386568418046405,88.10766666666619,148.5,7.919736247012585,62.72222222224499
312,M15171,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,297.86,0.08432740427030014,0.007111111110966634,308.46000000000004,0.08432740427333227,0.007111111111478017,1554.3,232.98500190164881,54282.0111111113,38.29,9.00869333230715,81.1565555555553,151.4,8.140434058862605,66.2666666666903
313,L47492,L,297.9,308.6,1468,36.0,168,0,0,0,0,0,0,297.87,0.08232726023397782,0.006777777777633107,308.48,0.0918936583492339,0.008444444444805724,1549.9,234.28446621812407,54889.21111111132,38.38,8.977725522400165,80.59955555555531,154.4,8.181279443544136,66.93333333335785
314,L47493,L,298.0,308.6,1313,50.8,170,0,0,0,0,0,0,297.89,0.08755950357626521,0.007666666666522001,308.5,0.09428090416008765,0.008888888889243633,1533.3,245.47959860919931,60260.233333333614,39.11,9.707437011556303,94.23433333333315,157.1,8.45182426067643,71.43333333335869
315,M15174,M,297.9,308.5,1300,53.0,172,0,0,0,0,0,0,297.9,0.0816496580918905,0.00666666666652262,308.51,0.08755950357909287,0.007666666667017177,1489.6,244.08113405177482,59575.60000000047,41.660000000000004,9.66795393727822,93.46933333333345,159.7,8.654478609369036,74.9000000000262
316,L47495,L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,297.90999999999997,0.07378647873629082,0.005444444444301097,308.51,0.08755950357909287,0.007666666667017177,1441.3,119.48040285614768,14275.56666666734,43.8,5.6969777562805985,32.455555555555925,162.4,8.809086218219637,77.60000000002714
317,L47496,L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,297.90999999999997,0.07378647873629082,0.005444444444301097,308.51000000000005,0.08755950357909287,0.007666666667017177,1475.3,144.05095549068147,20750.677777778295,42.410000000000004,6.448505425462742,41.58322222222242,165.1,8.723531395027365,76.10000000002809
318,L47497,L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,297.90999999999997,0.07378647873629082,0.005444444444301097,308.51,0.08755950357909287,0.007666666667017177,1485.9,155.9390550468014,24316.988888889355,41.589999999999996,7.674264351280416,58.894333333333435,167.8,8.390470785362936,70.40000000002892
319,L47498,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,297.9,0.0816496580918905,0.00666666666652262,308.5,0.09428090416008765,0.008888888889243633,1506.6,142.40958145043913,20280.488888889256,40.86,7.4244640659556485,55.122666666666674,170.4,8.002777295693921,64.04444444447411
320,L47499,L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,297.89,0.08755950357626521,0.007666666666522001,308.49,0.09944289260297681,0.009888888889247181,1522.9,144.39871498351079,20850.988888889184,39.989999999999995,7.925128810730243,62.807666666666556,173.0,7.3635740114602415,54.22222222225267
321,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,297.87,0.08232726023396794,0.00677777777763148,308.46999999999997,0.09486832980696995,0.009000000000364022,1525.3,144.65518387607997,20925.122222222504,39.629999999999995,7.915533252198901,62.65566666666651,175.5,6.670832032065508,44.500000000031235
322,L47501,L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,297.85,0.07071067811760369,0.004999999999851357,308.44999999999993,0.08498365856205188,0.007222222222591414,1531.8,142.48960975765615,20303.28888888914,38.470000000000006,8.036728190003672,64.5889999999997,178.0,6.976149845487744,48.666666666698674
323,L47502,L,297.8,308.5,1448,40.0,192,0,0,0,0,0,0,297.84000000000003,0.0699205898769452,0.0048888888887399715,308.43999999999994,0.06992058988066051,0.004888888889259525,1529.8,143.62048755120108,20626.844444444705,38.870000000000005,7.999590267285206,63.993444444444194,180.4,7.275529763073347,52.933333333366114
324,L47503,L,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,297.82,0.042163702133799164,0.0017777777776277403,308.42999999999995,0.04830458915781566,0.002333333333705362,1554.6,121.77502024453001,14829.155555555693,38.42,7.354484648460703,54.08844444444415,182.8,7.420691791652594,55.06666666670018
325,M15184,M,297.8,308.5,1488,41.9,196,0,0,0,0,0,0,297.81,0.031622776599319995,0.0009999999998505003,308.42999999999995,0.04830458915781566,0.002333333333705362,1573.4,87.90297681724654,7726.933333333382,37.31,5.51773906998546,30.44544444444401,185.2,7.420691791652639,55.06666666670086
326,L47505,L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0,297.8,0.0,0.0,308.43999999999994,0.05163977795300914,0.002666666667036089,1578.7,94.14297637104968,8862.90000000002,36.029999999999994,6.1213742102751425,37.47122222222163,187.6,7.633260552784865,58.266666666701504
327,L47506,L,297.7,308.5,1501,41.4,201,0,0,0,0,0,0,297.79,0.031622776599338966,0.0009999999998517002,308.45,0.05270462767295242,0.002777777778144542,1557.4,83.63970349062777,6995.6000000001295,36.85,6.248066367551871,39.03833333333284,190.0,7.702813338863195,59.33333333336876
328,L47507,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,297.78,0.04216370213381939,0.0017777777776294458,308.46,0.05163977795295444,0.0026666666670304394,1526.2,88.78663563097186,7883.06666666696,39.68,8.123190396772817,65.9862222222221,192.4,7.633260552784947,58.266666666702754
329,H29742,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,297.76000000000005,0.06992058987694023,0.004888888888739277,308.46,0.05163977795295444,0.0026666666670304394,1545.3,104.53925365888047,10928.455555555753,38.83,8.532037662051572,72.79566666666643,194.8,7.420691791652815,55.06666666670347
330,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,297.75,0.070710678117595,0.0049999999998501295,308.46999999999997,0.048304589157695074,0.0023333333336937124,1556.1,117.02843908877747,13695.6555555557,38.61,8.750422212035751,76.56988888888864,197.5,7.5608641481449865,57.16666666670421
331,M15190,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,297.72999999999996,0.08232726023394592,0.006777777777627853,308.47,0.048304589157695074,0.0023333333336937124,1540.9,127.32674503025756,16212.100000000217,38.98,8.809187123553317,77.60177777777757,200.5,7.989576542806985,63.833333333371606
332,M15191,M,297.6,308.4,1391,51.9,218,0,0,0,0,0,0,297.71000000000004,0.08755950357623521,0.007666666666516745,308.46999999999997,0.048304589157695074,0.0023333333336937124,1528.2,135.90911996216136,18471.288888889165,40.919999999999995,9.343542035961404,87.30177777777779,203.3,8.769264507359722,76.90000000003894
333,M15192,M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0,297.69,0.08755950357624205,0.007666666666517945,308.45,0.07071067812124508,0.005000000000366329,1537.2,132.9559659770449,17677.28888888912,40.94,9.341567796086956,87.2648888888889,184.1,65.15698990387268,4245.433333333367
334,L47513,L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0,297.66,0.09660917830718371,0.009333333333189217,308.41999999999996,0.10327955590069665,0.010666666667045124,1545.8,137.37442750866526,18871.733333333526,39.440000000000005,9.586356045037242,91.89822222222206,165.0,86.44844320942606,7473.333333333362
335,M15194,M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0,297.63,0.09486832980432472,0.008999999999862125,308.38,0.13984117975743268,0.019555555555950604,1543.9,138.39030955156497,19151.877777777976,39.73,9.712082966879732,94.32455555555543,145.9,99.02351011530332,9805.65555555558
336,L47515,L,297.4,308.1,1749,25.9,8,0,0,0,0,0,0,297.59,0.09944289260054279,0.009888888888763088,308.34000000000003,0.15776212755063032,0.024888888889301353,1548.9,145.3451447799729,21125.21111111129,39.540000000000006,9.98612370575623,99.72266666666654,126.8,105.82984246211264,11199.955555555578
337,M15196,M,297.6,308.2,1995,20.5,10,0,0,0,0,0,0,297.58000000000004,0.09189365834660405,0.008444444444322394,308.31,0.15238839267689422,0.02322222222264731,1598.3,200.67499982697268,40270.45555555549,37.45,11.608832844002865,134.76499999999967,107.7,108.16042611684642,11698.677777777795
338,L47517,L,297.6,308.3,1742,27.7,13,0,0,0,0,0,0,297.57000000000005,0.08232726023413847,0.006777777777659559,308.29,0.13703203194220773,0.01877777777821024,1635.2,188.1806460706183,35411.955555555316,34.55,9.737014144204773,94.80944444444381,88.7,106.23040995873082,11284.900000000014
339,L47518,L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0,297.56,0.08432740427047596,0.007111111110996287,308.27,0.13374935098656945,0.017888888889328547,1621.2,187.78344501638594,35262.622222222046,35.230000000000004,9.730027977577652,94.67344444444387,69.7,99.92224755056085,9984.455555555563
340,M15199,M,297.5,308.2,1713,32.2,17,0,0,0,0,0,0,297.54,0.06992058987724922,0.004888888888782486,308.24,0.10749676997941086,0.011555555556006368,1620.5,187.38685475062854,35113.83333333316,35.459999999999994,9.61655979143382,92.47822222222167,50.4,87.70430117414111,7692.044444444448
341,L47520,L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0,297.52000000000004,0.07888106377403738,0.006222222222123752,308.21,0.09944289260349812,0.00988888888935086,1628.1,178.69990362491902,31933.655555555346,35.21,9.461788649322276,89.52544444444388,30.9,66.04451360845788,4361.877777777778
342,M15201,M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0,297.5,0.08164965809221433,0.0066666666665755004,308.18999999999994,0.07378647874044261,0.00544444444491379,1642.0,162.9171568620068,26541.999999999727,33.28,7.429191671298309,55.192888888888156,11.3,7.364328437361341,54.233333333328936
343,L47522,L,297.4,308.2,1471,46.5,25,0,0,0,0,0,0,297.47999999999996,0.0788810637741251,0.006222222222137591,308.18,0.06324555320709614,0.00400000000047163,1635.3,168.93591815965073,28539.344444444207,33.91,8.297583316176356,68.84988888888822,13.8,7.345444544447377,53.95555555555173
344,L47523,L,297.5,308.3,1388,48.6,27,0,0,0,0,0,0,297.47999999999996,0.0788810637741251,0.006222222222137592,308.19,0.07378647874044261,0.0054444444449137895,1609.4,185.9409703224234,34574.044444444335,35.64,9.420450567190956,88.7448888888884,16.2,7.345444544447414,53.95555555555228
345,M15204,M,297.5,308.2,2448,13.8,29,0,0,0,0,0,0,297.47999999999996,0.0788810637741251,0.006222222222137592,308.2,0.0666666666701734,0.004444444444912009,1707.3,316.02744254960487,99873.34444444379,32.540000000000006,11.033705935299611,121.74266666666588,18.6,7.198765326236125,51.8222222222195
346,L47525,L,297.5,308.3,1585,32.9,32,0,0,0,0,0,0,297.48999999999995,0.073786478736665,0.005444444444356316,308.21999999999997,0.06324555320703579,0.004000000000463994,1690.9,317.8729480643337,101043.21111111056,33.239999999999995,10.78488654450185,116.31377777777705,21.0,7.272474743090328,52.888888888886726
347,M15206,M,297.5,308.3,1459,45.2,34,0,0,0,0,0,0,297.47999999999996,0.06324555320268893,0.0039999999999141556,308.23,0.06749485577447466,0.004555555556017135,1637.3,305.8612793771418,93551.12222222198,35.709999999999994,10.363123724694832,107.39433333333288,23.4,7.198765326236203,51.82222222222063
348,L47527,L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0,297.46999999999997,0.04830458915309932,0.0023333333332497207,308.23,0.06749485577447466,0.004555555556017135,1617.5,304.73713627029787,92864.7222222221,37.019999999999996,10.061676467335502,101.23733333333303,25.8,7.345444544447568,53.95555555555453
349,L47528,L,297.6,308.3,1617,31.7,39,0,0,0,0,0,0,297.48,0.06324555320268893,0.0039999999999141556,308.24,0.06992058988129221,0.004888888889347863,1622.9,304.1419442007663,92502.32222222206,36.37,10.186161636695568,103.75788888888852,28.2,7.345444544447606,53.955555555555094
